상호명,위도(lat),경도(lon),소재지,count
포항오거리CU복권,36.0338362448701,129.364675485114,경북 포항시 북구 죽도로 33 CU포항오거리점내,25
역전광장상회,37.7652893095288,126.774674572958,경기 파주시 금촌1동  329-19,25
빙그레 돈벼락 맞는곳,35.2932300268868,128.78292895073,경남 김해시 김해대로 910 좌측 복권판매점,25
가판14호,37.5584466553632,126.97633371006,서울 중구 퇴계로 37,25
로또나라,37.7001768716207,126.683980977903,경기 파주시 자유로 2212,25
김포로또,37.6194145581129,126.718054556723,경기 김포시 돌문로 48 한솔프라자101,25
태안로또복권방,36.7534877459013,126.298530275563,충남 태안군 독샘로 57,25
행운복권방,37.7367622315602,127.087199006025,경기 의정부시 충의로 55,25
일등복권,37.8044859572152,127.085310369977,경기 양주시 송랑로 223,25
세븐일레븐 현풍대로점,35.6905393667784,128.444470256201,대구 달성군 비슬로 581 세븐일레븐현풍대로점,25
GS25(덕산제일점),35.1442170673981,128.701326249809,경남 창원시 진해구 충장로 505,25
대박의터,37.8362738856845,127.760134997623,강원 춘천시 영서로 1786,25
우두로또,37.9019294706945,127.728543173935,강원 춘천시 영서로 2786 1층,25
광성슈퍼,37.2212991430585,127.450059363554,경기 이천시 단월로 33,25
GS25(양산혜인점),35.3848887047532,129.155068358886,경남 양산시 평산동 31-5번지,24
행운복권방,38.1224594448418,128.206905365509,강원 인제군 금강로 23 1층,24
롯데마트,35.9627637626119,126.700377525111,전북 군산시 하나운로 43,24
복권명당,36.3664840477938,127.373055233072,대전 서구 만년남로3번길 164,24
토큰박스(서문5지구),35.8685996061089,128.578466117132,대구 중구 큰장로26길 5,24
로또통신,37.0058111165168,127.267448720717,경기 안성시 장기로 36,24
포유25다농점,37.1496735813691,127.075420908236,경기 오산시 오산동  924-1거성그린프라자114,24
코사마트금강점,35.8557344772008,128.530831896323,대구 달서구 용산로 204 1층 코사마트,24
한마음,37.4841859042134,126.954466715324,서울 관악구 관악로 211 봉천중앙시장라열4호,24
고양월드식품복권,37.7010773507965,126.901824395161,경기 고양시 덕양구 혜음로 8 삼라마이다스프라자 제1층 제115호,24
행운복권,37.1423162548353,128.208639474645,충북 제천시 명륜로 67 1층,24
대광슈퍼,37.3710839056756,126.933974013894,경기 군포시 고산로 679 미성프라자106호,24
경기상회,37.4431636514412,126.736802569717,인천 남동구 장승남로 42 104호,24
디딤슈퍼,37.5106466365954,126.780589593946,경기 부천시 도약로 279,24
대박마트복권방,36.8264860912374,127.099250859403,충남 아산시 음봉로 844 태화상가1층103호,24
로또,34.9760759677266,128.325470539709,경남 고성군 동외로167번길 11,23
한국인세계대박복권,37.4277189523348,126.655241764938,인천 연수구 한나루로197번길 34,23
현대사,37.3456077433631,127.111113543921,경기 성남시 분당구 미금일로 77 102호,23
